Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
4154,The Shadow Who Controls the Dark,Monster,Normal,DARK,Fiend,3,800,700
4155,Lord of the Lamp,Monster,Normal,DARK,Fiend,4,1400,1200
4156,Akihiron,Monster,Normal,WATER,Aqua,5,1700,1400
4157,Rhaimundos of the Red Sword,Monster,Normal,EARTH,Warrior,4,1200,1300
4158,The Melting Red Shadow,Monster,Normal,WATER,Aqua,2,500,700
4159,Dokuroizo the Grim Reaper,Monster,Normal,DARK,Zombie,3,900,1200
4160,Fire Reaper,Monster,Normal,DARK,Zombie,2,700,500
4161,Larvas,Monster,Normal,EARTH,Beast,3,800,1000
4162,Hard Armor,Monster,Normal,EARTH,Warrior,3,300,1200
4163,Firegrass,Monster,Normal,EARTH,Plant,2,700,600
4164,Man Eater,Monster,Normal,EARTH,Plant,2,800,600
4165,Dig Beak,Monster,Normal,EARTH,Beast,2,500,800
4166,M-Warrior #1,Monster,Normal,EARTH,Warrior,3,1000,500
4167,M-Warrior #2,Monster,Normal,EARTH,Warrior,3,500,1000
4168,Tainted Wisdom,Monster,Effect,DARK,Fiend,3,1250,800
4169,Lisark,Monster,Normal,EARTH,Beast,4,1300,1300
4170,Lord of Zemia,Monster,Normal,DARK,Fiend,4,1300,1000
4171,The Judgement Hand,Monster,Normal,EARTH,Warrior,3,1400,700
4172,Mysterious Puppeteer,Monster,Effect,EARTH,Warrior,4,1000,1500
4173,Ancient Jar,Monster,Normal,EARTH,Rock,1,400,200
4174,Darkfire Dragon,Monster,Fusion,DARK,Dragon,4,1500,1250
4175,Dark King of the Abyss,Monster,Normal,DARK,Fiend,3,1200,800
4176,Spirit of the Harp,Monster,Normal,LIGHT,Fairy,4,800,2000
4177,Big Eye,Monster,Effect,DARK,Fiend,4,1200,1000
4178,Armaill,Monster,Normal,EARTH,Warrior,3,700,1300
4179,Dark Prisoner,Monster,Normal,DARK,Fiend,3,600,1000
4180,Hurricail,Monster,Normal,WIND,Spellcaster,2,900,200
4181,Ancient Brain,Monster,Normal,DARK,Fiend,3,1000,700
4182,Fire Eye,Monster,Normal,FIRE,Pyro,2,800,600
4183,Monsturtle,Monster,Normal,WATER,Aqua,3,800,1000
4184,Claw Reacher,Monster,Normal,DARK,Fiend,3,1000,800
4185,Phantom Dewan,Monster,Normal,DARK,Spellcaster,2,700,600
4186,Arlownay,Monster,Normal,EARTH,Plant,3,800,1000
4187,Dark Shade,Monster,Normal,WIND,Fiend,3,1000,1000
4188,Masked Clown,Monster,Normal,DARK,Warrior,2,500,700
4189,Lucky Trinket,Monster,Normal,LIGHT,Spellcaster,2,600,800
4190,Genin,Monster,Normal,LIGHT,Spellcaster,3,600,900
4191,Eyearmor,Monster,Normal,EARTH,Warrior,2,600,500
4192,Fiend Reflection #2,Monster,Normal,LIGHT,Winged Beast,4,1100,1400
4193,Gate Deeg,Monster,Normal,DARK,Beast,3,700,800
4194,Synchar,Monster,Normal,EARTH,Beast,3,800,900
4195,Fusionist,Monster,Fusion,EARTH,Beast,3,900,700
4196,Akakieisu,Monster,Normal,DARK,Spellcaster,3,1000,800
4197,LaLa Li-oon,Monster,Normal,WIND,Thunder,2,600,600
4198,Key Mace,Monster,Normal,LIGHT,Fairy,1,400,300
4199,Turtle Tiger,Monster,Normal,WATER,Aqua,4,1000,1500
4200,Terra the Terrible,Monster,Normal,DARK,Fiend,4,1200,1300
4201,Doron,Monster,Normal,EARTH,Warrior,2,900,500
4202,Arma Knight,Monster,Normal,WATER,Aqua,4,1000,1200
4203,Mech Mole Zombie,Monster,Normal,DARK,Zombie,2,500,400
4204,Happy Lover,Monster,Normal,LIGHT,Fairy,2,800,500
4205,Penguin Knight,Monster,Effect,WATER,Aqua,3,900,800
4206,Petit Dragon,Monster,Normal,WIND,Dragon,2,600,700
4207,Frenzied Panda,Monster,Normal,EARTH,Beast,4,1200,1000
4208,Archfiend Marmot of Nefariousness,Monster,Normal,EARTH,Beast,2,400,600
4209,Phantom Ghost,Monster,Normal,DARK,Zombie,2,600,800
4210,Mabarrel,Monster,Normal,DARK,Fiend,5,1700,1400
4211,Dorover,Monster,Normal,WATER,Aqua,3,900,800
4212,Twin Long Rods #1,Monster,Normal,WATER,Aqua,3,900,700
4213,Droll Bird,Monster,Normal,WIND,Winged Beast,2,600,500
4214,Petit Angel,Monster,Normal,LIGHT,Fairy,3,600,900
4215,Winged Cleaver,Monster,Normal,EARTH,Insect,2,700,700
4216,Hinotama Soul,Monster,Normal,FIRE,Pyro,2,600,500
4217,Thunder Kid,Monster,Normal,WIND,Thunder,2,700,600
4218,Meotoko,Monster,Normal,EARTH,Beast,2,700,600
4219,Aqua Madoor,Monster,Normal,WATER,Spellcaster,4,1200,2000
4220,Kagemusha of the Blue Flame,Monster,Normal,EARTH,Warrior,2,800,400
4221,Flame Ghost,Monster,Fusion,DARK,Zombie,3,1000,800
4222,Dryad,Monster,Normal,EARTH,Spellcaster,4,1200,1400
4223,B. Skull Dragon,Monster,Fusion,DARK,Dragon,9,3200,2500
4224,Two-Mouth Darkruler,Monster,Normal,EARTH,Dinosaur,3,900,700
4225,Solitude,Monster,Normal,EARTH,Beast-Warrior,3,1050,1000
4226,Masked Sorcerer,Monster,Effect,DARK,Spellcaster,4,900,1400
4227,Kumootoko,Monster,Normal,EARTH,Insect,3,700,1400
4228,Midnight Fiend,Monster,Normal,DARK,Fiend,2,800,600
4229,Roaring Ocean Snake,Monster,Fusion,WATER,Aqua,6,2100,1800
4230,Trap Master,Monster,Effect,EARTH,Warrior,3,500,1100
4231,Fiend Sword,Monster,Normal,DARK,Warrior,4,1400,800
4232,Skull Stalker,Monster,Normal,DARK,Warrior,3,900,800
4233,Hitodenchak,Monster,Normal,WATER,Aqua,2,600,700
4234,Wood Remains,Monster,Normal,DARK,Zombie,3,1000,900
4235,Hourglass of Life,Monster,Normal,LIGHT,Fairy,2,700,600
4236,Rare Fish,Monster,Fusion,WATER,Fish,4,1500,1200
4237,Wood Clown,Monster,Normal,EARTH,Warrior,3,800,1200
4238,Madjinn Gunn,Monster,Normal,DARK,Fiend,2,600,800
4239,Dark Titan of Terror,Monster,Normal,DARK,Fiend,4,1300,1100
4240,Beautiful Headhuntress,Monster,Normal,EARTH,Warrior,4,1600,800
4241,Wodan the Resident of the Forest,Monster,Effect,EARTH,Warrior,3,900,1200
4242,Guardian of the Labyrinth,Monster,Normal,EARTH,Warrior,4,1000,1200
4243,Haniwa,Monster,Normal,EARTH,Rock,2,500,500
4244,Yashinoki,Monster,Normal,EARTH,Plant,2,800,600
4245,Vishwar Randi,Monster,Normal,DARK,Warrior,3,900,700
4246,The Drdek,Monster,Normal,DARK,Fiend,3,700,800
4247,Dark Assailant,Monster,Normal,DARK,Zombie,4,1200,1200
4248,Candle of Fate,Monster,Normal,DARK,Fiend,2,600,600
4249,Water Element,Monster,Normal,WATER,Aqua,3,900,700
4250,Dissolverock,Monster,Normal,EARTH,Rock,3,900,1000
4251,Meda Bat,Monster,Normal,DARK,Fiend,2,800,400
4252,One Who Hunts Souls,Monster,Normal,EARTH,Beast-Warrior,4,1100,1000
4253,Root Water,Monster,Normal,WATER,Fish,3,900,800
4254,Master & Expert,Monster,Normal,EARTH,Beast,4,1200,1000
4255,Water Omotics,Monster,Normal,WATER,Aqua,4,1400,1200
4256,Hyo,Monster,Normal,WATER,Warrior,3,800,1200
4257,Enchanting Mermaid,Monster,Normal,WATER,Fish,3,1200,900
4258,Nekogal #1,Monster,Normal,EARTH,Beast,3,1100,900
4259,Fairywitch,Monster,Normal,DARK,Spellcaster,3,800,1000
4260,Embryonic Beast,Monster,Normal,DARK,Fiend,2,500,750
4261,Prevent Rat,Monster,Normal,EARTH,Beast,4,500,2000
4262,D.D. Warrior,Monster,Effect,EARTH,Warrior,4,1200,1000
4263,Stone Armadiller,Monster,Normal,EARTH,Rock,3,800,1200
4264,Beastking of the Swamps,Monster,Effect,WATER,Aqua,4,1000,1100
4265,Ancient Sorcerer,Monster,Normal,DARK,Spellcaster,4,1000,1300
4266,Lunar Queen Elzaim,Monster,Normal,LIGHT,Fairy,3,750,1100
4267,Archfiend Mirror,Monster,Normal,DARK,Fiend,2,700,600
4268,The Little Swordsman of Aile,Monster,Effect,WATER,Warrior,3,800,1300
4269,Rock Ogre Grotto #2,Monster,Normal,EARTH,Rock,3,700,1400
4270,Wing Egg Elf,Monster,Normal,LIGHT,Fairy,3,500,1300
4271,The Furious Sea King,Monster,Normal,WATER,Aqua,3,800,700
4272,Princess of Tsurugi,Monster,Effect,WIND,Warrior,3,900,700
4273,Unknown Warrior of Fiend,Monster,Normal,DARK,Warrior,3,1000,500
4274,Sectarian of Secrets,Monster,Normal,DARK,Spellcaster,2,700,500
4275,Versago the Destroyer,Monster,Effect,DARK,Fiend,3,1100,900
4276,Wetha,Monster,Normal,WATER,Aqua,3,1000,900
4277,Megirus Light,Monster,Normal,DARK,Fiend,3,900,600
4278,Mavelus,Monster,Fusion,WIND,Winged Beast,4,1300,900
4279,Ancient Tree of Enlightenment,Monster,Normal,EARTH,Plant,3,600,1500
4280,Green Phantom King,Monster,Normal,EARTH,Plant,3,500,1600
4281,Ground Attacker Bugroth,Monster,Normal,EARTH,Machine,4,1500,1000
4282,Ray & Temperature,Monster,Normal,LIGHT,Fairy,3,1000,1000
4283,Gorgon Egg,Monster,Normal,DARK,Fiend,3,300,1300
4284,Petit Moth,Monster,Normal,EARTH,Insect,1,300,200
4285,King Fog,Monster,Normal,DARK,Fiend,3,1000,900
4286,Protector of the Throne,Monster,Normal,EARTH,Warrior,4,800,1500
4287,Mystic Clown,Monster,Normal,DARK,Fiend,4,1500,1000
4288,Mystical Sheep #2,Monster,Normal,EARTH,Beast,3,800,1000
4289,Holograh,Monster,Normal,EARTH,Machine,3,1100,700
4290,Tao the Chanter,Monster,Normal,EARTH,Spellcaster,3,1200,900
4291,Serpent Marauder,Monster,Normal,EARTH,Reptile,2,700,600
4292,Gatekeeper,Monster,Normal,DARK,Machine,5,1500,1800
4293,Ogre of the Black Shadow,Monster,Normal,EARTH,Beast-Warrior,4,1200,1400
4294,Dark Artist,Monster,Effect,DARK,Fiend,3,600,1400
4295,Change Slime,Monster,Normal,WATER,Aqua,1,400,300
4296,Moon Envoy,Monster,Normal,LIGHT,Warrior,4,1100,1000
4297,Fireyarou,Monster,Normal,FIRE,Pyro,4,1300,1000
4298,Psychic Kappa,Monster,Normal,WATER,Aqua,2,400,1000
4299,Masaki the Legendary Swordsman,Monster,Normal,EARTH,Warrior,4,1100,1100
4300,Dragoness the Wicked Knight,Monster,Fusion,WIND,Warrior,3,1200,900
4301,Bio Plant,Monster,Normal,DARK,Fiend,3,600,1300
4302,One-Eyed Shield Dragon,Monster,Normal,WIND,Dragon,3,700,1300
4303,Cyber Soldier of Darkworld,Monster,Normal,DARK,Machine,4,1400,1200
4304,Wicked Dragon with the Ersatz Head,Monster,Normal,WIND,Dragon,3,900,900
4305,Sonic Maid,Monster,Normal,EARTH,Warrior,3,1200,900
4306,Kurama,Monster,Normal,WIND,Winged Beast,3,800,800
4357,Yaranzo,Monster,Normal,DARK,Zombie,4,1300,1500
4358,Kanan the Swordmistress,Monster,Normal,EARTH,Warrior,4,1400,1400
4359,Takriminos,Monster,Normal,WATER,Sea Serpent,4,1500,1200
4360,Stuffed Animal,Monster,Normal,EARTH,Warrior,3,1200,900
4361,Megasonic Eye,Monster,Normal,DARK,Machine,5,1500,1800
4362,Super War-Lion,Monster,Ritual,EARTH,Beast,7,2300,2100
4363,Yamadron,Monster,Normal,FIRE,Dragon,5,1600,1800
4364,Seiyaryu,Monster,Normal,LIGHT,Dragon,7,2500,2300
4365,Three-Legged Zombies,Monster,Normal,DARK,Zombie,3,1100,800
4366,Zera The Mant,Monster,Ritual,DARK,Fiend,8,2800,2300
4367,Flying Penguin,Monster,Normal,WATER,Aqua,4,1200,1000
4368,Millennium Shield,Monster,Normal,EARTH,Warrior,5,0,3000
4369,Fairy's Gift,Monster,Normal,LIGHT,Spellcaster,4,1400,1000
4370,Black Luster Soldier,Monster,Ritual,EARTH,Warrior,8,3000,2500
4371,Fiend's Mirror,Monster,Ritual,DARK,Fiend,6,2100,1800
4372,Labyrinth Wall,Monster,Normal,EARTH,Rock,5,0,3000
4373,Jirai Gumo,Monster,Effect,EARTH,Insect,4,2200,100
4374,Shadow Ghoul,Monster,Effect,DARK,Zombie,5,1600,1300
4375,Wall Shadow,Monster,Effect,DARK,Warrior,7,1600,3000
4376,Labyrinth Tank,Monster,Fusion,DARK,Machine,7,2400,2400
4377,Sanga of the Thunder,Monster,Effect,LIGHT,Thunder,7,2600,2200
4378,Kazejin,Monster,Effect,WIND,Spellcaster,7,2400,2200
4379,Suijin,Monster,Effect,WATER,Aqua,7,2500,2400
4380,Gate Guardian,Monster,Effect,DARK,Warrior,11,3750,3400
4381,Dungeon Worm,Monster,Normal,EARTH,Insect,5,1800,1500
4382,Monster Tamer,Monster,Normal,EARTH,Warrior,5,1800,1600
4383,Ryu-Kishin Powered,Monster,Normal,DARK,Fiend,4,1600,1200
4384,Swordstalker,Monster,Normal,DARK,Warrior,6,2000,1600
4385,La Jinn the Mystical Genie of the Lamp,Monster,Normal,DARK,Fiend,4,1800,1000
4386,Blue-Eyes Ultimate Dragon,Monster,Fusion,LIGHT,Dragon,12,4500,3800
4387,Toon Alligator,Monster,Normal,WATER,Reptile,4,800,1600
4388,Rude Kaiser,Monster,Normal,EARTH,Beast-Warrior,5,1800,1600
4389,Parrot Dragon,Monster,Normal,WIND,Dragon,5,2000,1300
4390,Dark Rabbit,Monster,Normal,DARK,Beast,4,1100,1500
4391,Bickuribox,Monster,Fusion,DARK,Fiend,7,2300,2000
4392,Harpie's Pet Dragon,Monster,Effect,WIND,Dragon,7,2000,2500
4393,Mystic Lamp,Monster,Effect,DARK,Spellcaster,1,400,300
4394,Pendulum Machine,Monster,Normal,DARK,Machine,6,1750,2000
4395,Giltia the D. Knight,Monster,Fusion,LIGHT,Warrior,5,1850,1500
4396,Launcher Spider,Monster,Normal,FIRE,Machine,7,2200,2500
4397,Zoa,Monster,Normal,DARK,Fiend,7,2600,1900
4398,Metalzoa,Monster,Effect,DARK,Machine,8,3000,2300
4399,Zone Eater,Monster,Effect,WATER,Aqua,1,250,200
4400,Steel Scorpion,Monster,Effect,EARTH,Machine,1,250,300
4401,Dancing Elf,Monster,Normal,WIND,Fairy,1,300,200
4402,Ocubeam,Monster,Normal,LIGHT,Fairy,5,1550,1650
4403,Leghul,Monster,Effect,EARTH,Insect,1,300,350
4404,Ooguchi,Monster,Effect,WATER,Aqua,1,300,250
4405,Swordsman from a Foreign Land,Monster,Effect,EARTH,Warrior,1,250,250
4406,Emperor of the Land and Sea,Monster,Normal,WATER,Reptile,5,1800,1500
4407,Ushi Oni,Monster,Normal,DARK,Fiend,6,2150,1950
4408,Monster Eye,Monster,Effect,DARK,Fiend,1,250,350
4409,Leogun,Monster,Normal,EARTH,Beast,5,1750,1550
4410,Tatsunootoshigo,Monster,Normal,EARTH,Beast,5,1350,1600
4411,Saber Slasher,Monster,Normal,DARK,Machine,5,1450,1500
4412,Yaiba Robo,Monster,Normal,DARK,Machine,4,1000,1300
4413,Machine King,Monster,Effect,EARTH,Machine,6,2200,2000
4414,Giant Mech-Soldier,Monster,Normal,EARTH,Machine,6,1750,1900
4415,Metal Dragon,Monster,Fusion,WIND,Machine,6,1850,1700
4416,Mechanical Spider,Monster,Effect,EARTH,Machine,2,400,500
4417,Bat,Monster,Normal,WIND,Machine,1,300,350
4418,Giga-Tech Wolf,Monster,Normal,FIRE,Machine,4,1200,1400
4419,Cyber Soldier,Monster,Normal,DARK,Machine,5,1500,1700
4420,Shovel Crusher,Monster,Normal,EARTH,Machine,3,900,1200
4421,Mechanicalchaser,Monster,Normal,DARK,Machine,4,1850,800
4422,Blocker,Monster,Normal,DARK,Machine,4,850,1800
4423,Blast Juggler,Monster,Effect,FIRE,Machine,3,800,900
4424,Golgoil,Monster,Normal,EARTH,Machine,4,900,1600
4425,Giganto,Monster,Normal,DARK,Machine,5,1700,1800
4426,Cyber-Stein,Monster,Effect,DARK,Machine,2,700,500
4427,Cyber Commander,Monster,Normal,DARK,Machine,2,750,700
4428,Jinzo #7,Monster,Effect,DARK,Machine,2,500,400
4429,Dice Armadillo,Monster,Normal,EARTH,Machine,5,1650,1800
4430,Sky Dragon,Monster,Normal,WIND,Dragon,6,1900,1800
4431,Thunder Dragon,Monster,Effect,LIGHT,Thunder,5,1600,1500
4432,Stone D.,Monster,Normal,EARTH,Rock,7,2000,2300
4433,Kaiser Dragon,Monster,Fusion,LIGHT,Dragon,7,2300,2000
